date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:01	23513/23513	---MCZ	200	added ('OK')	text/html	etag:W/%22600544a9-5bd9%22	https://v1.bepatrickdavid.com/	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/index.html	(from )
10:46:01	67/67	---MCZ	200	added ('OK')	text/plain	etag:W/%2244-5b928630cf6b4%22	https://v1.bepatrickdavid.com/robots.txt		(from )
10:46:01	956/956	---M--	200	added ('OK')	image/png	etag:%223bc-5b928637d9579%22	https://v1.bepatrickdavid.com/assets/img/favicon-16.png	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/img/favicon-16.png	(from https://v1.bepatrickdavid.com/)
10:46:02	1411/1411	---M--	200	added ('OK')	image/png	etag:%22600544bc-583%22	https://v1.bepatrickdavid.com/assets/img/favicon-32.png	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/img/favicon-32.png	(from https://v1.bepatrickdavid.com/)
10:46:02	2007/2007	---M--	200	added ('OK')	image/png	etag:%22600544b0-7d7%22	https://v1.bepatrickdavid.com/assets/img/favicon-48.png	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/img/favicon-48.png	(from https://v1.bepatrickdavid.com/)
10:46:02	2600/2600	---M--	200	added ('OK')	image/png	etag:%22600544b0-a28%22	https://v1.bepatrickdavid.com/assets/img/favicon-62.png	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/img/favicon-62.png	(from https://v1.bepatrickdavid.com/)
10:46:02	7826/7826	---M--	200	added ('OK')	image/png	etag:%22600544b0-1e92%22	https://v1.bepatrickdavid.com/assets/img/favicon-192.png	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/img/favicon-192.png	(from https://v1.bepatrickdavid.com/)
10:46:03	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Sep%202021%2008:46:01%20GMT	http://bepatrickdavid.com/assets/img/showcase.jpg	C:/Users/User/Desktop/w2/bepatrickdavid.com/assets/img/showcase.5.delayed	(from https://v1.bepatrickdavid.com/)
10:46:03	252721/252721	---M--	200	added ('OK')	image/jpeg	etag:%22600541ee-3db31%22	https://bepatrickdavid.com/assets/img/showcase.jpg	C:/Users/User/Desktop/w2/bepatrickdavid.com/assets/img/showcase.jpg	(from https://v1.bepatrickdavid.com/)
10:46:04	121260/121260	---MCZ	200	added ('OK')	text/css	etag:W/%22600544e7-1d9ac%22	https://v1.bepatrickdavid.com/assets/css/bootstrap/bootstrap.min.css	C:/Users/User/Desktop/w2/v1.bepatrickdavid.com/assets/css/bootstrap/bootstrap.min.css	(from https://v1.bepatrickdavid.com/)
